,cap,cap_perc,level,path,read_data,total_iops,write_data,total_data
159,41400221696,0.0320346697245,4,/tv-shows/FoxNews HD/2017-06-26,484391046.0,468.0,124401552.0,608792598.0
160,1730220032,0.00133880991466,4,/tv-shows/FoxNews HD/2017-06-26/10-01-03.ts,4646365.0,4.0,0.0,4646365.0
161,1730215936,0.00133880674526,4,/tv-shows/FoxNews HD/2017-06-26/15-01-03.ts,30304596.0,29.0,0.0,30304596.0
162,1730211840,0.00133880357585,4,/tv-shows/FoxNews HD/2017-06-26/13-01-03.ts,27645404.0,32.0,0.0,27645404.0
163,1729171456,0.00133799854737,4,/tv-shows/FoxNews HD/2017-06-26/16-01-03.ts,4555228.0,3.0,3879727.0,8434955.0
164,1729167360,0.00133799537796,4,/tv-shows/FoxNews HD/2017-06-26/14-01-03.ts,28556423.0,26.0,0.0,28556423.0
165,1728118784,0.00133718401067,4,/tv-shows/FoxNews HD/2017-06-26/09-01-03.ts,26880408.0,19.0,0.0,26880408.0
166,1728110592,0.00133717767186,4,/tv-shows/FoxNews HD/2017-06-26/08-01-04.ts,26279660.0,25.0,0.0,26279660.0
167,1728106496,0.00133717450246,4,/tv-shows/FoxNews HD/2017-06-26/06-01-03.ts,23201791.0,21.0,0.0,23201791.0
168,1728102400,0.00133717133306,4,/tv-shows/FoxNews HD/2017-06-26/04-01-03.ts,4281957.0,3.0,0.0,4281957.0
169,1728102400,0.00133717133306,4,/tv-shows/FoxNews HD/2017-06-26/05-01-03.ts,6478299.0,3.0,0.0,6478299.0
170,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-26/02-01-03.ts,28009811.0,27.0,0.0,28009811.0
171,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-26/07-01-03.ts,4838876.0,5.0,0.0,4838876.0
172,1727045632,0.00133635362696,4,/tv-shows/FoxNews HD/2017-06-26/03-01-04.ts,31379045.0,29.0,0.0,31379045.0
173,1726025728,0.00133556444549,4,/tv-shows/FoxNews HD/2017-06-26/17-01-03.ts,5295375.0,3.0,14374829.0,19670204.0
174,1726021632,0.00133556127608,4,/tv-shows/FoxNews HD/2017-06-26/18-01-03.ts,23693378.0,23.0,15242570.0,38935948.0
175,1726021632,0.00133556127608,4,/tv-shows/FoxNews HD/2017-06-26/19-01-03.ts,30322618.0,23.0,14471358.0,44793976.0
176,1726017536,0.00133555810668,4,/tv-shows/FoxNews HD/2017-06-26/23-01-03.ts,29375487.0,26.0,14751800.0,44127287.0
177,1726013440,0.00133555493728,4,/tv-shows/FoxNews HD/2017-06-26/12-01-03.ts,19923692.0,19.0,0.0,19923692.0
178,1726013440,0.00133555493728,4,/tv-shows/FoxNews HD/2017-06-26/20-01-03.ts,31379045.0,26.0,14244577.0,45623622.0
179,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-26/00-01-03.ts,25587711.0,22.0,0.0,25587711.0
180,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-26/01-01-03.ts,21726889.0,22.0,0.0,21726889.0
181,1723920384,0.00133393537209,4,/tv-shows/FoxNews HD/2017-06-26/21-01-03.ts,21289367.0,21.0,14334211.0,35623578.0
182,1722867712,0.00133312083539,4,/tv-shows/FoxNews HD/2017-06-26/22-01-03.ts,5660602.0,3.0,13521562.0,19182164.0
183,1675673600,0.00129660296837,4,/tv-shows/FoxNews HD/2017-06-26/11-01-03.ts,22892338.0,24.0,0.0,22892338.0
184,28374237184,0.0219554214842,4,/tv-shows/FoxNews HD/2017-06-30,0.0,4.0,237121788.0,237121788.0
185,1732288512,0.00134041046342,4,/tv-shows/FoxNews HD/2017-06-30/03-01-03.ts,0.0,0.0,14274883.0,14274883.0
186,1729155072,0.00133798586975,4,/tv-shows/FoxNews HD/2017-06-30/13-01-03.ts,0.0,0.0,14595401.0,14595401.0
187,1729150976,0.00133798270035,4,/tv-shows/FoxNews HD/2017-06-30/02-01-03.ts,0.0,1.0,15300319.0,15300319.0
188,1729150976,0.00133798270035,4,/tv-shows/FoxNews HD/2017-06-30/04-01-03.ts,0.0,0.0,13704242.0,13704242.0
189,1729150976,0.00133798270035,4,/tv-shows/FoxNews HD/2017-06-30/08-01-03.ts,0.0,0.0,13830606.0,13830606.0
190,1728106496,0.00133717450246,4,/tv-shows/FoxNews HD/2017-06-30/01-01-03.ts,0.0,0.0,15061045.0,15061045.0
191,1728106496,0.00133717450246,4,/tv-shows/FoxNews HD/2017-06-30/09-01-04.ts,0.0,0.0,14749205.0,14749205.0
192,1728106496,0.00133717450246,4,/tv-shows/FoxNews HD/2017-06-30/11-01-03.ts,0.0,0.0,14816036.0,14816036.0
193,1728102400,0.00133717133306,4,/tv-shows/FoxNews HD/2017-06-30/12-01-03.ts,0.0,0.0,14998377.0,14998377.0
194,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-30/10-01-03.ts,0.0,1.0,14661002.0,14661002.0
195,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-30/14-01-03.ts,0.0,1.0,14152417.0,14152417.0
196,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-30/15-01-03.ts,0.0,0.0,13620142.0,13620142.0
197,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-30/05-01-04.ts,0.0,0.0,14611986.0,14611986.0
198,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-30/06-01-04.ts,0.0,0.0,14555736.0,14555736.0
199,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-30/00-01-03.ts,0.0,1.0,14512591.0,14512591.0
200,1723904000,0.00133392269448,4,/tv-shows/FoxNews HD/2017-06-30/07-01-03.ts,0.0,0.0,14335851.0,14335851.0
201,4989251584,0.0038605838355,4,/tv-shows/FoxNews HD/2017-06-22,26020930.0,25.0,39182089.0,65203019.0
202,1724952576,0.00133473406177,4,/tv-shows/FoxNews HD/2017-06-22/23-01-03.ts,8673619.0,6.0,0.0,8673619.0
203,1723899904,0.00133391952507,4,/tv-shows/FoxNews HD/2017-06-22/22-01-03.ts,8856233.0,9.0,0.0,8856233.0
204,1540395008,0.00119192707925,4,/tv-shows/FoxNews HD/2017-06-22/21-07-31.ts,8491074.0,7.0,0.0,8491074.0
205,141737189376,0.109673423555,2,/test,0.0,1755.0,1868492099.0,1868492099.0
206,141737185280,0.109673420386,3,/test/parent_dir,0.0,1755.0,1868492099.0,1868492099.0
